kd_nM,prior_density,posterior_density
0.00705629,5.8734e-05,0
0.00708194,5.90578e-05,0
0.00710768,5.93832e-05,0
0.00713351,5.97103e-05,0
0.00715944,6.00391e-05,0
0.00718546,6.03697e-05,0
0.00721158,6.07019e-05,0
0.00723779,6.10358e-05,0
0.0072641,6.13714e-05,0
0.0072905,6.17087e-05,0
0.007317,6.20478e-05,0
0.00734359,6.23886e-05,0
0.00737028,6.27312e-05,0
0.00739707,6.30755e-05,0
0.00742396,6.34216e-05,0
0.00745094,6.37695e-05,0
0.00747802,6.41191e-05,0
0.0075052,6.44706e-05,0
0.00753248,6.48238e-05,0
0.00755986,6.51788e-05,0
0.00758734,6.55357e-05,0
0.00761491,6.58944e-05,0
0.00764259,6.62549e-05,0
0.00767037,6.66173e-05,0
0.00769825,6.69815e-05,0
0.00772623,6.73475e-05,0
0.00775431,6.77154e-05,0
0.0077825,6.80853e-05,0
0.00781078,6.84569e-05,0
0.00783917,6.88305e-05,0
0.00786766,6.9206e-05,0
0.00789626,6.95834e-05,0
0.00792496,6.99627e-05,0
0.00795377,7.0344e-05,0
0.00798268,7.07272e-05,0
0.00801169,7.11123e-05,0
0.00804081,7.14994e-05,0
0.00807003,7.18884e-05,0
0.00809937,7.22795e-05,0
0.00812881,7.26725e-05,0
0.00815835,7.30675e-05,0
0.008188,7.34645e-05,0
0.00821776,7.38635e-05,0
0.00824763,7.42646e-05,0
0.00827761,7.46676e-05,0
0.0083077,7.50727e-05,0
0.00833789,7.54799e-05,0
0.0083682,7.58891e-05,0
0.00839861,7.63004e-05,0
0.00842914,7.67138e-05,0
0.00845978,7.71292e-05,0
0.00849052,7.75468e-05,0
0.00852138,7.79664e-05,0
0.00855236,7.83882e-05,0
0.00858344,7.88121e-05,0
0.00861464,7.92381e-05,0
0.00864595,7.96663e-05,0
0.00867738,8.00967e-05,0
0.00870892,8.05292e-05,0
0.00874057,8.09639e-05,0
0.00877234,8.14007e-05,0
0.00880422,8.18398e-05,0
0.00883622,8.22811e-05,0
0.00886834,8.27245e-05,0
0.00890057,8.31703e-05,0
0.00893292,8.36182e-05,0
0.00896539,8.40684e-05,0
0.00899798,8.45209e-05,0
0.00903068,8.49756e-05,0
0.00906351,8.54326e-05,0
0.00909645,8.58919e-05,0
0.00912951,8.63535e-05,0
0.00916269,8.68174e-05,0
0.009196,8.72836e-05,0
0.00922942,8.77521e-05,0
0.00926297,8.8223e-05,0
0.00929664,8.86963e-05,0
0.00933043,8.91719e-05,0
0.00936434,8.96499e-05,0
0.00939838,9.01302e-05,0
0.00943254,9.0613e-05,0
0.00946682,9.10982e-05,0
0.00950123,9.15858e-05,0
0.00953576,9.20758e-05,0
0.00957042,9.25682e-05,0
0.00960521,9.30631e-05,0
0.00964012,9.35605e-05,0
0.00967516,9.40603e-05,0
0.00971032,9.45627e-05,0
0.00974562,9.50675e-05,0
0.00978104,9.55748e-05,0
0.00981659,9.60847e-05,0
0.00985227,9.6597e-05,0
0.00988808,9.7112e-05,0
0.00992402,9.76294e-05,0
0.00996009,9.81495e-05,0
0.00999629,9.86721e-05,0
0.0100326,9.91973e-05,0
0.0100691,9.97251e-05,0
0.0101057,0.000100255,0
0.0101424,0.000100789,0
0.0101793,0.000101324,0
0.0102163,0.000101863,0
0.0102534,0.000102403,0
0.0102907,0.000102947,0
0.0103281,0.000103493,0
0.0103656,0.000104042,0
0.0104033,0.000104594,0
0.0104411,0.000105149,0
0.0104791,0.000105706,0
0.0105171,0.000106266,0
0.0105554,0.000106828,0
0.0105937,0.000107394,0
0.0106322,0.000107962,0
0.0106709,0.000108533,0
0.0107097,0.000109107,0
0.0107486,0.000109684,0
0.0107877,0.000110263,0
0.0108269,0.000110845,0
0.0108662,0.000111431,0
0.0109057,0.000112019,0
0.0109454,0.00011261,0
0.0109851,0.000113203,0
0.0110251,0.0001138,0
0.0110651,0.0001144,0
0.0111054,0.000115002,0
0.0111457,0.000115608,0
0.0111862,0.000116216,0
0.0112269,0.000116828,0
0.0112677,0.000117442,0
0.0113087,0.00011806,0
0.0113498,0.00011868,0
0.011391,0.000119304,0
0.0114324,0.00011993,0
0.011474,0.00012056,0
0.0115157,0.000121193,0
0.0115575,0.000121828,0
0.0115995,0.000122467,0
0.0116417,0.000123109,0
0.011684,0.000123754,0
0.0117265,0.000124402,0
0.0117691,0.000125054,0
0.0118119,0.000125708,0
0.0118548,0.000126366,0
0.0118979,0.000127027,0
0.0119411,0.000127691,0
0.0119845,0.000128358,0
0.0120281,0.000129029,0
0.0120718,0.000129702,0
0.0121157,0.000130379,0
0.0121597,0.00013106,0
0.0122039,0.000131743,0
0.0122483,0.00013243,0
0.0122928,0.000133121,0
0.0123375,0.000133814,0
0.0123823,0.000134511,0
0.0124273,0.000135211,0
0.0124725,0.000135915,0
0.0125178,0.000136622,0
0.0125633,0.000137333,0
0.012609,0.000138046,0
0.0126548,0.000138764,0
0.0127008,0.000139485,0
0.012747,0.000140209,0
0.0127933,0.000140937,0
0.0128398,0.000141668,0
0.0128865,0.000142403,0
0.0129333,0.000143141,0
0.0129803,0.000143883,0
0.0130275,0.000144628,0
0.0130749,0.000145377,0
0.0131224,0.00014613,0
0.0131701,0.000146886,0
0.0132179,0.000147646,0
0.013266,0.000148409,0
0.0133142,0.000149176,0
0.0133626,0.000149947,0
0.0134112,0.000150721,0
0.0134599,0.0001515,0
0.0135088,0.000152281,0
0.0135579,0.000153067,0
0.0136072,0.000153856,0
0.0136567,0.00015465,0
0.0137063,0.000155446,0
0.0137561,0.000156247,0
0.0138061,0.000157052,0
0.0138563,0.00015786,0
0.0139067,0.000158672,0
0.0139572,0.000159488,0
0.0140079,0.000160308,0
0.0140589,0.000161132,0
0.01411,0.00016196,0
0.0141612,0.000162792,0
0.0142127,0.000163627,0
0.0142644,0.000164467,0
0.0143162,0.000165311,0
0.0143683,0.000166158,0
0.0144205,0.00016701,0
0.0144729,0.000167865,0
0.0145255,0.000168725,0
0.0145783,0.000169589,0
0.0146313,0.000170457,0
0.0146845,0.000171329,0
0.0147378,0.000172205,0
0.0147914,0.000173085,0
0.0148452,0.00017397,0
0.0148991,0.000174858,0
0.0149533,0.000175751,0
0.0150076,0.000176648,0
0.0150622,0.000177549,0
0.0151169,0.000178455,0
0.0151719,0.000179364,0
0.015227,0.000180278,0
0.0152823,0.000181197,0
0.0153379,0.000182119,0
0.0153936,0.000183046,0
0.0154496,0.000183978,0
0.0155057,0.000184914,0
0.0155621,0.000185854,0
0.0156187,0.000186798,0
0.0156754,0.000187747,0
0.0157324,0.000188701,0
0.0157896,0.000189658,0
0.015847,0.000190621,0
0.0159046,0.000191588,0
0.0159624,0.000192559,0
0.0160204,0.000193535,0
0.0160786,0.000194516,0
0.0161371,0.000195501,0
0.0161957,0.00019649,0
0.0162546,0.000197485,0
0.0163137,0.000198484,0
0.016373,0.000199487,0
0.0164325,0.000200496,0
0.0164922,0.000201509,0
0.0165521,0.000202527,0
0.0166123,0.000203549,0
0.0166727,0.000204576,0
0.0167333,0.000205608,0
0.0167941,0.000206645,0
0.0168552,0.000207687,0
0.0169164,0.000208733,0
0.0169779,0.000209785,0
0.0170396,0.000210841,0
0.0171015,0.000211902,0
0.0171637,0.000212968,0
0.0172261,0.000214039,0
0.0172887,0.000215115,0
0.0173515,0.000216196,0
0.0174146,0.000217282,0
0.0174779,0.000218373,0
0.0175414,0.000219469,0
0.0176052,0.000220571,0
0.0176692,0.000221677,0
0.0177334,0.000222788,0
0.0177978,0.000223905,0
0.0178625,0.000225026,0
0.0179275,0.000226153,0
0.0179926,0.000227285,0
