variant,param,multiplier,kd_nM,n_eff@1h,R2@1h,fold@1h,ratio_spread@1h,n_eff@3h,R2@3h,fold@3h,ratio_spread@3h,n_eff@6h,R2@6h,fold@6h,ratio_spread@6h,t_peak_lo,t_peak_hi,adapt_lo,adapt_hi
er,Kd_TIP_TetR,16.0,4.0,3.9207948953439358,0.9553259187092525,1.6937342572725427,0.20883418457385827,2.5204145626330203,0.962224437674466,1.64385498264951,0.04432274277176744,2.9080904661087623,0.9771031656820489,1.4705115073113297,0.026425640822045886,20.795198799699925,103.615903975994,0.24076927476301763,0.3360952967430762
er,Kd_TIP_TetR,20.0,5.0,3.9109950421595414,0.9561156353123283,1.5865237218930297,0.18538603312963697,2.5261875261655358,0.9627563084130802,1.5523024272049293,0.038979108587553886,2.912250503769383,0.9774256929952615,1.3998272152979045,0.024508251367880384,20.795198799699925,103.615903975994,0.24076927476652452,0.3360952967091243
er,Kd_TIP_TetR,30.0,7.5,3.8861012024560226,0.9575123739358589,1.4223085035477383,0.14491669807613328,2.537729868309518,0.9637611807824044,1.408522553216931,0.02985307806217534,2.9186376308451107,0.9779831913545105,1.2912471465855284,0.020540722711840584,20.795198799699925,103.615903975994,0.24076927476689694,0.33609529670723026
er,Kd_TIP_TetR,40.0,10.0,3.865384693147028,0.9583613271581792,1.3293794964811512,0.11891811589684832,2.5456183892935162,0.9644558680197752,1.3245877767743144,0.02412206597067607,2.922181072183705,0.9783397664723313,1.229293735782266,0.01757870550337291,20.795198799699925,103.615903975994,0.24076927476664658,0.3360952967063498
er,Kd_TIP_TetR,60.0,15.0,3.836384311685741,0.9592585853100393,1.228185338067454,0.08738193747129382,2.555120144566262,0.9653402307570343,1.2303047604366162,0.017359726223923316,2.9258745812363327,0.9787696215686231,1.1610039469986213,0.013573558923144437,20.795198799699925,103.615903975994,0.24076927477627152,0.3360952967043425
er,Kd_TIP_TetR,80.0,20.0,3.818046562447338,0.9596817691097174,1.1743050347746773,0.06897536229156884,2.560447104098048,0.9658735052528885,1.1785412816764105,0.013522530186835408,2.9277219467781337,0.9790192516426354,1.1241046567314164,0.011028654612675498,20.795198799699925,103.615903975994,0.2407692747775693,0.3360952967064591
er,Kd_TIP_TetR,100.0,25.0,3.8056932029068467,0.9599068038256663,1.140914744509206,0.056933380827045396,2.5637967301557905,0.9662276945206167,1.1457948069060315,0.011059808259050617,2.928807511113694,0.9791821938308505,1.1009788422979698,0.009279130656675781,20.795198799699925,103.615903975994,0.24076927478204882,0.33609529671003757
er,Kd_TIP_TetR,250.0,62.5,3.772036956904893,0.9602542961596643,1.0576594838412123,0.02456325427599029,2.57212864928932,0.9671922975983954,1.0613901626257398,0.0046438338647459484,2.931245165892871,0.979619600460887,1.0421362126689426,0.0042227894666556996,20.795198799699925,103.615903975994,0.2407692747789445,0.3360952967170255
er,Kd_TIP_TetR,400.0,100.0,3.762878925930091,0.960270180737572,1.0362140866725236,0.01564178943458286,2.5742359719162207,0.9674587749411093,1.0388819124952948,0.002932712892450931,2.931795300445562,0.9797402181645933,1.0266252846388815,0.0027309147921716946,20.795198799699925,103.615903975994,0.2407692747782784,0.33609529672259686
er,Kd_TIP_TetR,1000.0,250.0,3.7535327323255605,0.9602428966357798,1.0145506920131162,0.006373073534701135,2.5763373981021505,0.9677342935914355,1.0157633198199156,0.0011840457740331098,2.9323119456438205,0.9798656559212051,1.0107691817832087,0.0011312007672251833,20.795198799699925,103.615903975994,0.24076927478429566,0.3360952967337568
er,Kd_TIP_TetR,2000.0,500.0,3.7503908735382887,0.9602224950131454,1.0072854657924488,0.0032059065155294023,2.57703713926404,0.967827904361022,1.0079173360957328,0.0005936886020930185,2.9324750987527377,0.9799085560667904,1.0054047780324342,0.0005723262116317038,20.795198799699925,103.615903975994,0.24076927478521168,0.336095296738545
er,Kd_TIP_TetR,4000.0,1000.0,3.7488177010011783,0.9602099411812173,1.0036451892329554,0.0016077883845997567,2.577381515784442,0.9678750021901312,1.0039676408963583,0.00029724344538409385,2.9325550367889575,0.9799302111477054,1.002707468393756,0.0002878690527318775,20.795198799699925,103.615903975994,0.24076927478469887,0.33609529674482214
er,Kd_TIP_TetR,10000.0,2500.0,3.7478730707286876,0.9602016091575035,1.0014586554266312,0.0006442745812221272,2.5775912360763065,0.9679033475709065,1.0015892166593598,0.00011899083738126254,2.9326076695025027,0.9799432696780903,1.0010842106041038,0.00011556009792083625,20.795198799699925,103.615903975994,0.24076927478613092,0.33609529674205707
er,Kd_TIP_TetR,20000.0,5000.0,3.7475582369467175,0.9601987117728248,1.0007294235815851,0.0003223304054029331,2.5776594694594195,0.9679128077828292,1.0007949689352031,5.9510795033475514e-05,2.9326094602331385,0.9799476337756264,1.0005423095289558,5.784900677931907e-05,20.795198799699925,103.615903975994,0.2407692747872676,0.3360952967396793
